administration,case_caption,date_initiated,policy_area,specific_policy,litigation_target,result_type,injunction_issued,general_success,case_stage,dispute_category,eo_related_first_pass,citation_or_docket,opinion_links_or_titles,status_summary,coding_note
Joe Biden,Texas v. U.S. Department of Labor,2021-11-05,Health Care,COVID-19 Vaccine Rules (for Large Employers),"U.S. Department of Labor, Occupational Safety and Health Administration (Labor)",adverse_tro_or_injunction,National Injunction Issued,"Success, Injunction Only","Case Closed, Agency Reversed Policy",Funding / grant or program cuts,No obvious EO link in AG metadata,21A244 21A247,(2021.11.12) Texas v. U.S. Department of Labor - Opinion Reaffirming Stay [5th Cir.] | links: https://attorneysgeneral.org/wp-content/uploads/2021/11/2021.11.05-Texas-v.-U.S.-Department-of-Labor-Petition-for-Review-5th-Cir..pdf; https://attorneysgeneral.org/wp-content/uploads/2021/11/2021.11.12-Texas-v.-U.S.-Department-of-Labor-Opinion-Reaffirming-Stay-5th-Cir..pdf,"On 12/17/21, a three-judge panel voted 2-1 to grant the government's motion to dissolve the administrative stay that had blocked the COVID policy from going into effect. The plaintiff states, along with several private party plaintiffs, filed for a writ of certiorari before judgment to the U.S. Supreme Court. With three justices dissenting, the Court sided with the states and stayed the policy. The Biden Administration voluntarily dismissed its 6th Circuit appeal shortly after.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Missouri v. Biden,2021-11-10,Health Care,COVID-19 Vaccine Rules (for Healthcare Facilities),"President, U.S. Department of Health and Human Services, Centers for Medicare and Medicaid Services (HHS)",adverse_tro_or_injunction,Local Injunction Issued,Mixed Results (Initial Success Reversed on Appeal),"Case Closed, Voluntarily Dismissed",Funding / grant or program cuts,Possible presidential-directive/OMB-related,21-01463,(2021.11.29) Missouri v. Biden - Memorandum and Order [E.D. Mo.] | links: https://attorneysgeneral.org/wp-content/uploads/2021/11/2021.11.10-Missouri-v.-Biden-Complaint-E.D.-Mo..pdf; https://attorneysgeneral.org/wp-content/uploads/2021/12/2021.11.29-Missouri-v.-Biden-Memorandum-and-Order-E.D.-Mo..pdf,"The court granted a preliminary injunction to the plaintiffs on 11/29/21. The 8th Circuit denied the federal defendants' motion for stay pending appeal, but the U.S. Supreme Court granted the federal government's request to stay the injunctions concerning the health care worker policy pending appeal on 1/13/22. The 8th Circuit vacated the preliminary injunction on 4/11/22, which the plaintiffs appealed to the U.S. Supreme Court. The Court denied cert on 10/3/22, after which the plaintiffs filed an amended complaint in district court. The case was voluntarily dismissed in July 2023 following the Biden Administration's termination of the challenged policy.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Louisiana v. Becerra,2021-11-15,Health Care,COVID-19 Vaccine Rules (for Healthcare Facilities),"U.S. Department of Health and Human Services, Centers for Medicare and Medicaid Services (HHS)",adverse_tro_or_injunction,National Injunction Issued,Mixed Results (Initial Success Reversed on Appeal),"Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,21-30734,(2022.06.13) Louisiana v. Becerra - Opinion [5th Cir.] (2022.11.03) Lousiana v. Becerra - Report and Recommendations of Magistrate Judge (W.D. La.) (2022.12.02) Louisiana v. Becerra - Judgment (W.D. La.) | links: https://attorneysgeneral.org/wp-content/uploads/2021/11/2021.11.15-Louisiana-v.-Becerra-Complaint-W.D.-La..pdf; https://attorneysgeneral.org/wp-content/uploads/2022/07/2022.06.13-Louisiana-v.-Becerra-Opinion-5th-Cir..pdf; https://attorneysgeneral.org/wp-content/uploads/2023/01/2022.11.03-Lousiana-v.-Becerra-Report-and-Recommendations-of-Magistrate-Judge-W.D.-La..pdf; https://attorneysgeneral.org/wp-content/uploads/2023/01/2022.12.02-Lousiana-v.-Becerra-Judgment-W.D.-La..pdf,"The district court granted a nationwide injunction to the plaintiffs blocking the policy on 11/30/21. While on appeal to the Fifth Circuit, the circuit court granted a stay of the district court's nationwide injunction but denied it as applied to the plaintiff states. Subsequently, the U.S. Supreme Court granted a stay of the injunctions that had been issued in this and a related case. On remand, the district court dismissed the plaintiffs' complaint on the basis of the Supreme Court decision and recommendations of a magistrate judge.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Arizona v. Biden,2021-11-18,Immigration,Guidance Regarding Immigrant Removals,"President, U.S. Department of Homeland Security, U.S. Customs and Border Protection (DHS), U.S. Immigration and Customs Enforcement (DHS), U.S. Citizenship and Immigration Services (DHS)",adverse_tro_or_injunction,National Injunction Issued,Mixed Results (Initial Success Reversed on Appeal),"Case Closed, Voluntarily Dismissed",Immigration / presidential directive,Possible presidential-directive/OMB-related,22-03272,(2022.07.05) Arizona v. Biden - Opinion [6th Cir.] | links: https://attorneysgeneral.org/wp-content/uploads/2021/11/2021.11.18-Arizona-v.-Biden-Complaint-S.D.-Ohio.pdf; https://attorneysgeneral.org/wp-content/uploads/2022/08/2022.07.05-Arizona-v.-Biden-Opinion-6th-Cir..pdf,"The district court granted a preliminary injunction to the plaintiff states. The federal government appealed, and the Sixth Circuit reversed the preliminary injunction on 7/5/22. The case was eventually voluntarily dismissed following the U.S. Supreme Court's decision in U.S. v. Texas, which limited state standing.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Louisiana v. Becerra,2021-12-21,Health Care,COVID-19 Vaccine Rules (Head Start Program),"U.S. Department of Health and Human Services, Administration for Children and Families (HHS), Office of Head Start (HHS)",adverse_tro_or_injunction; adverse_merits_or_partial_merits,National Injunction Issued,"Success, Merits Decision","Case Active, Appellate Court, Appeal Period Open from Final Court Decision",Funding / grant or program cuts,No obvious EO link in AG metadata,22-30748,(2022.01.01) Louisiana v. Becerra - Order Granting Preliminary Injunction [W.D. La.] | links: https://attorneysgeneral.org/wp-content/uploads/2021/12/2021.12.21-Louisiana-v.-Becerra-Complaint-W.D.-La..pdf; https://attorneysgeneral.org/wp-content/uploads/2022/01/2022.01.01-Louisiana-v.-Becerra-Order-Granting-Preliminary-Injunction-W.D.-La..pdf,The district court issued a preliminary and then a permanent injunction blocking the vaccine policy from going into effect in the plaintiff states. The federal defendants have appealed to the Fifth Circuit.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Arizona v. Walsh,2022-02-09,Labor,Contractor Minimum Wage Increase,"U.S. Department of Labor, President",adverse_merits_or_partial_merits,No Injunction Issued (Denied),"Success, Merits Decision","Case Active, Original Court, Pre-Argument Briefing",Funding / grant or program cuts,Possible presidential-directive/OMB-related,23-15179,(2023.01.06) Arizona v. Walsh - Opinion (D. Ariz.) | links: https://attorneysgeneral.org/wp-content/uploads/2022/02/2022.02.09-Arizona-v.-Walsh-Complaint-D.-Ariz..pdf; https://attorneysgeneral.org/wp-content/uploads/2023/01/2023.01.06-Arizona-v.-Walsh-Opinion-D.-Ariz..pdf,"The district court granted the federal defendant's motion to dismiss. On appeal, the Ninth Circuit largely reversed, finding that the wage mandate exceeded presidential authority.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Texas v. Biden,2022-02-10,Labor,Contractor Minimum Wage Increase,"President, U.S. Department of Labor",adverse_tro_or_injunction,Local Injunction Issued,Mixed Results (Initial Success Reversed on Appeal),"Case Closed, Dismissed as Moot",Funding / grant or program cuts,Likely EO/directive-related,23-40671,(2025.03.28) {MULTISTATE} Texas v. Biden [5th Cir.] - Order Dismissing as Moot | links: https://attorneysgeneral.org/wp-content/uploads/2022/02/2022.02.10-Texas-v.-Biden-Complaint-S.D.-Tex..pdf; https://attorneysgeneral.org/wp-content/uploads/2025/05/2025.03.28-MULTISTATE-Texas-v.-Biden-5th-Cir.-Order-Dismissing-as-Moot.pdf,"The district court issued an injunction blocking the policy in September 2023. On appeal, the Fifth Circuit reversed the injunction in February 2025, but vacated the panel decision and district court opinion due to the Trump Administration's revocation of the challenged executive order.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Louisiana v. U.S. Department of Energy,2022-03-17,Energy,Energy Efficiency Standards for Consumer Appliances,U.S. Department of Energy,adverse_merits_or_partial_merits,No Injunction Issued (Not Requested or No Judicial Action),"Success, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Environment / energy regulation,No obvious EO link in AG metadata,22-60146,(2024.01.08) Louisiana v. DOE - Opinion [5th Cir.] | links: https://attorneysgeneral.org/wp-content/uploads/2022/08/2022.03.17-Louisiana-v.-DOE-5th-Cir..pdf; https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.01.08-Louisiana-v.-DOE-Opinion-5th-Cir.pdf,"In January 2024, the court issued an opinion finding the DOE's rule to be arbitrary and capricious, vacating the rule.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Florida v. Walensky,2022-03-29,Health Care,Mask Mandate for Transportation,Centers for Disease Control and Prevention; U.S. Department of Health and Human Services; Transportation Security Administration (DHS); U.S. Department of Homeland Security,adverse_tro_or_injunction,No Injunction Issued (Not Requested or No Judicial Action),Neither Win Nor Loss,"Case Closed, Voluntarily Dismissed",Funding / grant or program cuts,No obvious EO link in AG metadata,8:22-cv-00718,links: https://attorneysgeneral.org/wp-content/uploads/2022/04/2022.03.29-Florida-v.-Walensky-Complaint-M.D.-Fla..pdf,"The case was stayed pending an appeal in related (but separate) litigation concerning the challenged mask policies. When that appeal was dismissed as moot in June 2023, this case was voluntarily dismissed.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Louisiana v. Centers for Disease Control and Prevention,2022-04-03,Immigration,Title 42 Termination Order,"Centers for Disease Control and Prevention (HHS), U.S. Department of Health and Human Services, U.S. Department of Homeland Security, U.S. Immigration and Customs Enforcement (DHS), U.S. Border Patrol (DHS), U.S. Citizenship and Immigration Services (DHS), U.S. Department of Justice, Executive Office for Immigration Review (DOJ), President",adverse_tro_or_injunction,National Injunction Issued,"Success, Injunction Only","Case Closed, Dismissed as Moot",Immigration / presidential directive,Possible presidential-directive/OMB-related,22-30303,links: https://attorneysgeneral.org/wp-content/uploads/2022/04/2022.04.03-Louisiana-v.-Centers-for-Disease-Control-and-Prevention-Complaint-W.D.-La..pdf,"The district court issued a preliminary injunction blocking the rule. The Biden Administration appealed to the Fifth Circuit. The case was calendared for oral argument on 3/8/23, but the panel subsequently held the case in abeyance until 5/11/23. On 6/13/23, the panel held that the district court's preliminary injunction was moot, and thus granted the federal defendants' motion to vacate the injunction. The district court dismissed the case as moot on 6/14/23.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Arizona v. Garland,2022-04-28,Immigration,Migrant Asylum Policy,U.S. Department of Justice; Executive Office for Immigration Review (DOJ); U.S. Department of Homeland Security; U.S. Customs and Border Protection (DHS); U.S. Immigration and Customs Enforcement (DHS); U.S. Citizenship and Immigration Services (DHS); U.S. Border Patrol (DHS),adverse_tro_or_injunction,No Injunction Issued (Not Requested or No Judicial Action),Case Pending,"Case Active, Appellate Court, Stayed or Held in Abeyance",Immigration / border policy,No obvious EO link in AG metadata,24-30359,links: https://attorneysgeneral.org/wp-content/uploads/2022/05/2022.04.28-Arizona-v.-Garland-Complaint-W.D.-La..pdf,"The district court dismissed the case, holding that the states lacked standing to sue. The states appealed to the Fifth Circuit, which has stayed the case pending further rulemaking.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Missouri v. Biden,2022-05-05,Civil Rights,Disinformation Governance Board,President; Press Secretary; U.S. Surgeon General (HHS); U.S. Department of Health and Human Services; Dr. Anthony Fauci; National Institute of Allergy and Infectious Diseases (HHS); Centers for Disease Control and Prevention (HHS); U.S. Department of Homeland Security; Cybersecurity and Infrastructure Security Agency (DHS),adverse_tro_or_injunction,National Injunction Issued,Mixed Results (Initial Success Reversed on Appeal),"Case Active, Original Court, Pre-Argument Briefing",Funding / grant or program cuts,Possible presidential-directive/OMB-related,23-411,links: https://attorneysgeneral.org/wp-content/uploads/2022/05/2022.05.05-Missouri-v.-Biden-Complaint-W.D.-La..pdf,"The district court issued a national injunction blocking the policy, which the Fifth Circuit largely upheld. However, the Supreme Court reversed the Fifth Circuit in June 2024, holding that the plaintiffs lacked standing. The Court remanded the case, and limited discovery continues at the district court.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Louisiana v. Horseracing Integrity and Safety Authority,2022-06-29,Other,Regulation of Horseracing,"Horseracing Integrity and Safety Authority, Federal Trade Commission",adverse_tro_or_injunction,Local Injunction Issued,"Success, Injunction Only","Case Active, Original Court, Stayed or Held in Abeyance",Funding / grant or program cuts,No obvious EO link in AG metadata,22-30458,links: https://attorneysgeneral.org/wp-content/uploads/2022/07/2022.06.29-Louisiana-v.-Horseracing-Integrity-and-Safety-Authority-Complaint-W.D.La_..pdf,The district court granted the plaintiffs' motion for preliminary injunction. The Fifth Circuit upheld the injunction in November 2022. The district court later struck the plaintiffs' amended complaint and stayed the case pending the resolution of related litigation.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Tennessee v. U.S. Department of Agriculture,2022-07-26,Civil Rights,Gender Identity Discrimination Policy,"U.S. Department of Agriculture, Food and Nutrition Service (USDA)",adverse_tro_or_injunction; state_loss,No Injunction Issued (Denied),"Failure, Merits Decision","Case Active, Original Court, Appeal Period Open from Final Court Decision",Funding / grant or program cuts,No obvious EO link in AG metadata,3:22-cv-00257,links: https://attorneysgeneral.org/wp-content/uploads/2022/07/2022.07.26-Tennessee-v.-U.S.-Department-of-Agriculture-Complaint-E.D.-Tenn..pdf,The district court dismissed the case in its entirety. Appeals are possible.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Morehouse Enterprises v. ATF,2022-07-27,Civil Rights,Regulation of Firearm Parts Manufacturers,"Bureau of Alcohol, Tobacco, Firearms and Explosives (DOJ), U.S. Department of Justice",state_loss,No Injunction Issued (Denied),"Failure, Denied Injunction Only","Case Active, Original Court, Stayed or Held in Abeyance",Funding / grant or program cuts,No obvious EO link in AG metadata,22-02854,(2022.08.23) Morehouse Enterprises v. ATF - Opinion Denying Injunction (D.N.D.) | links: https://attorneysgeneral.org/wp-content/uploads/2022/07/2022.07.27-Morehouse-Enterprises-v.-ATF-Amended-Complaint-D.N.D..pdf; https://attorneysgeneral.org/wp-content/uploads/2022/08/2022.08.23-Morehouse-Enterprises-v.-ATF-Opinion-Denying-Injunction-D.N.D..pdf,"The district court denied the plaintiffs' request for preliminary injunction. The plaintiffs filed an interlocutory appeal to the Eighth Circuit, which affirmed the district court's denial of the injunction. The case is stayed in district court, with the federal defendants filing regular status reports.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Nebraska v. Biden,2022-09-29,Education,Student Debt Forgiveness,"President, U.S. Department of Education",adverse_tro_or_injunction,National Injunction Issued,"Success, Injunction Only","Case Closed, Appellate Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,Possible presidential-directive/OMB-related,22-506,(2022.10.20) Nebraska v. Biden - Opinion (E.D. Mo.) (2022.11.14) Nebraska v. Biden - Opinion (8th Cir.) | links: https://attorneysgeneral.org/wp-content/uploads/2022/10/2022.09.29-Nebraska-v.-Biden-Complaint-E.D.-Mo..pdf; https://attorneysgeneral.org/wp-content/uploads/2022/10/2022.10.20-Nebraska-v.-Biden-Opinion-E.D.-Mo..pdf; https://attorneysgeneral.org/wp-content/uploads/2023/01/2022.11.14-Nebraska-v.-Biden-Opinion-8th-Cir..pdf,"The district court dismissed the case due to the states' lack of standing. The plaintiffs appealed to the 8th Circuit, which issued an emergency injunction blocking the federal government from discharging student debt prior to resolution of underlying issues. On appeal, the U.S. Supreme Court reversed the district court, holding both that at least one state had standing and that the administration's actions eliminating student loans were unlawful.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Huisha-Huisha v. Mayorkas,2022-11-21,Immigration,Title 42 Termination Order,"U.S. Department of Homeland Security, U.S. Customs and Border Protection (DHS), U.S. Border Patrol (DHS), Centers for Disease Control and Prevention (HHS), U.S. Department of Health and Human Services",adverse_tro_or_injunction; state_loss,No Injunction Issued (Not Requested or No Judicial Action),"Failure, Procedural Dismissal","Case Closed, Dismissed as Moot",Immigration / border policy,No obvious EO link in AG metadata,22-05325,(2022.12.16) Huisha-Huisha v. Mayorkas - Order Denying Motion to Intervene (D.C. Cir.) | links: https://attorneysgeneral.org/wp-content/uploads/2023/01/2022.11.21-Huisha-Huisha-v.-Mayorkas-Motion-to-Intervene-D.D.C..pdf; https://attorneysgeneral.org/wp-content/uploads/2023/01/2022.12.16-Huisha-Huisha-v.-Mayorkas-Order-Denying-Motion-to-Intervene-D.C.-Cir..pdf,"The D.C. Circuit denied the states' motion to intervene as untimely, and the proposed intervenors participated instead as amici. The case was eventually dismissed as moot in November 2023.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Texas v. HHS,2023-01-18,Health Care,Public Health Emergency Rule,U.S. Department of Health and Human Services,state_loss,No Injunction Issued (Not Requested or No Judicial Action),"Failure, Procedural Dismissal","Case Active, Original Court, Appeal Period Open from Final Court Decision",Funding / grant or program cuts,No obvious EO link in AG metadata,4:23-cv-00066,links: https://attorneysgeneral.org/wp-content/uploads/2023/01/2023.01.18-Texas-v.-HHS-Complaint-N.D.-Tex..pdf,"In August 2023, the district court dismissed the case, holding that the states lacked standing to sue.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Texas v. U.S. Department of Homeland Security,2023-01-24,Immigration,Immigration Parole Program,"U.S. Department of Homeland Security, U.S. Citizenship and Immigration Services (DHS), U.S. Customs and Border Protection (DHS), U.S. Immigration and Customs Enforcement (DHS)",adverse_tro_or_injunction; state_loss,No Injunction Issued (Not Requested or No Judicial Action),"Failure, Procedural Dismissal","Case Active, Appellate Court, Pre-Argument Briefing",Immigration / border policy,No obvious EO link in AG metadata,24-40160,links: https://attorneysgeneral.org/wp-content/uploads/2023/01/2023.01.24-Texas-v.-U.S.-Department-of-Homeland-Security-Complaint-S.D.-Tex..pdf,"Following a bench trial, the district court held that the states lacked standing and dismissed the lawsuit. The states are currently appealing to the Fifth Circuit.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Utah v. Walsh,2023-01-26,Other,Investment Duties Rule,U.S. Department of Labor,state_loss,No Injunction Issued (Not Requested or No Judicial Action),"Failure, Merits Decision","Case Active, Appellate Court, Pre-Argument Briefing",Funding / grant or program cuts,No obvious EO link in AG metadata,23-11097,(2025.02.14) {MULTISTATE} Utah v. Walsh [N.D. Tex.] - Order Dismissing Case | links: https://attorneysgeneral.org/wp-content/uploads/2023/01/2023.01.26-Utah-v.-Walsh-Complaint-N.D.-Tex..pdf; https://attorneysgeneral.org/wp-content/uploads/2025/02/2025.02.14-MULTISTATE-Utah-v.-Walsh-N.D.-Tex.-Order-Dismissing-Case.pdf,"The district court granted the federal defendants' motion for summary judgment, which the states appealed. The Fifth Circuit remanded the case for the purpose of determining how the U.S. Supreme Court's opinion in Loper Bright affects the litigation. The district court again granted summary judgment to the defendants on the remaining claims in February 2025, and the plaintiffs appealed to the 5th Circuit.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,West Virginia v. EPA,2023-02-16,Environment,Waters of the United States Rule,"U.S. Environmental Protection Agency, U.S. Army Corps of Engineers (DoD)",adverse_tro_or_injunction,National Injunction Issued,"Success, Injunction Only","Case Active, Appellate Court, Stayed or Held in Abeyance",Funding / grant or program cuts,No obvious EO link in AG metadata,23-02411,links: https://attorneysgeneral.org/wp-content/uploads/2023/02/2023.02.16-West-Virginia-v.-EPA-Complaint-D.N.D..pdf,"The district court issued a preliminary injunction blocking the policy in April 2023. The injunction was appealed to the Eighth Circuit, but this appeal was dismissed following the finalization of a rule redefining waters of the United States. The district court case has been stayed since February 2025.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Louisiana v. Department of Homeland Security,2023-06-01,Other,National Flood Insurance Program Risk Ratings,"U.S. Department of Homeland Security, Federal Emergency Management Agency (DHS)",state_loss,No Injunction Issued (Denied),"Failure, Denied Injunction Only","Case Active, Original Court, Pre-Argument Briefing",Funding / grant or program cuts,No obvious EO link in AG metadata,2:23-cv-01839,(2024.03.28) Louisiana v. Department of Homeland Security - Opinion and Order [E.D. La.] | links: https://attorneysgeneral.org/wp-content/uploads/2023/06/2023.06.01-Louisiana-v.-DHS-E.D.-La.-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.03.28-Louisiana-v.-Department-of-Homeland-Security-Opinion-and-Order-E.D.-La.pdf,"In March 2024, the court denied the states' preliminary injunction, and dismissed part of the states' complaint. The court found that the states had plausible arguments for standing, however, and allowed most of the lawsuit to continue.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Louisiana v. EPA,2023-12-04,Environment,Water Quality Certifications,U.S. Environmental Protection Agency,state_loss,No Injunction Issued (Denied),"Failure, Denied Injunction Only","Case Active, Original Court, Stayed or Held in Abeyance",Funding / grant or program cuts,No obvious EO link in AG metadata,2:23-cv-01714,(2024.03.07) Louisiana v. EPA [W.D. La.] - Denial of Preliminary Injunction | links: https://attorneysgeneral.org/wp-content/uploads/2024/11/2023.12.04-Louisiana-v.-EPA-Complaint-W.D.-La.pdf; https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.03.07-Louisiana-v.-EPA-W.D.-La.-Denial-of-Preliminary-Injunction.pdf,"The court denied the states' motion for preliminary injunction in March 2024. Motions for summary judgment remain pending, but the court held the case in abeyance in February 2025.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Kentucky v. Federal Highway Administration,2023-12-21,Environment,Greenhouse Gas Emissions Measure,,adverse_merits_or_partial_merits,No Injunction Issued (Not Requested or No Judicial Action),"Success, Merits Decision","Case Active, Original Court, Pre-Argument Briefing",Funding / grant or program cuts,No obvious EO link in AG metadata,24-05532,links: https://attorneysgeneral.org/wp-content/uploads/2024/11/2023.12.21-Kentucky-v.-Federal-Highway-Administration-W.D.-Ky.-Complaint.pdf,"The district court granted the plaintiffs' motion for summary judgment. The federal government appealed to the Sixth Circuit, but voluntarily dismissed the appeal following the change in presidential administrations.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Kansas v. Biden,2024-03-28,Education,Student Loan Forgiveness,"President, U.S. Department of Education",adverse_tro_or_injunction,National Injunction Issued,"Success, Injunction Only","Case Active, Appellate Court, Stayed or Held in Abeyance",Funding / grant or program cuts,Possible presidential-directive/OMB-related,24-03089 24-03093 24-03094,(2024.06.07) Kansas v. Biden [D. Kan.] - Opinion and Order Granting Motion to Dismiss in Part (2024.06.24) Kansas v. Biden [D. Kan.] - Memorandum and Order Granting Preliminary Injunction in Part | links: https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.03.28-Kansas-v.-Biden-D.-Kan.-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.06.07-Kansas-v.-Biden-D.-Kan.-Opinion-and-Order-Granting-Motion-to-Dismiss-in-Part.pdf; https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.06.24-Kansas-v.-Biden-D.-Kan.-Memorandum-and-Order-Granting-Preliminary-Injunction-in-Part.pdf,"The district court granted a nationwide injunction to the states, but also dismissed several plaintiffs from the lawsuit. Both decisions are on appeal to the 10th Cir., which abated both appeals pending related litigation in the 8th Cir.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Missouri v. Biden,2024-04-09,Education,Student Loan Forgiveness (SAVE Plan),"President, U.S. Department of Education",adverse_tro_or_injunction,Local Injunction Issued,"Success, Injunction Only","Case Active, Original Court, On Remand Following Appeal",Funding / grant or program cuts,Possible presidential-directive/OMB-related,24-02351 24-02332,links: https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.04.09-Missouri-v.-Biden-E.D.-Mo.-Complaint.pdf,"The district court partially enjoined the challenged policy, and both the states and federal government have appeals to the 8th Circuit. In February 2025, the 8th Circuit sided with the states, enjoining the entire rule.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,North Dakota v. U.S. Department of the Interior,2024-04-24,Environment,Greenhouse Gas Restrictions on Oil and Gas,"U.S. Department of the Interior, Bureau of Land Management (Interior)",adverse_tro_or_injunction,Local Injunction Issued,"Success, Injunction Only","Case Active, Appellate Court, Stayed or Held in Abeyance",Funding / grant or program cuts,No obvious EO link in AG metadata,24-03299,links: https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.04.24-North-Dakota-v.-U.S.-Department-of-the-Interior-D.N.D.-Complaint.pdf,"The district court issued an injunction blocking the rule in September 2024, which the federal defendants have appealed to the Eighth Circuit. This appeal was placed in abeyance in February 2025.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Tennessee v. EEOC,2024-04-25,Civil Rights,,U.S. Equal Employment Opportunity Commission,state_loss,No Injunction Issued (Denied),"Failure, Procedural Dismissal","Case Active, Original Court, On Remand Following Appeal",Environment / energy regulation,No obvious EO link in AG metadata,24-02249,(2025.02.20) {MULTISTATE} Tennessee v. EEOC [8th Cir.] - Opinion | links: https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.04.25-Tennessee-v.-EEOC-E.D.-Ark.-Complaint.pdf; https://attorneysgeneral.org/wp-content/uploads/2025/02/2025.02.20-MULTISTATE-Tennessee-v.-EEOC-8th-Cir.-Opinion.pdf,"The district court dismissed the case in June 2024, finding that the states lacked standing. The states appealed to the 8th Circuit, which reversed and remanded to the district court in February 2025.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Alabama v. Cardona,2024-04-29,Civil Rights,Title IX Regulations,U.S. Department of Education,state_loss,No Injunction Issued (Denied),"Failure, Denied Injunction Only","Case Active, Appellate Court, Awaiting Decision After Argument",Funding / grant or program cuts,No obvious EO link in AG metadata,24-12444,links: https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.04.29-Alabama-v.-Cardona-N.D.-Ala.-Complaint.pdf,"The district court denied the plaintiff states' motion for preliminary injunction. The states have appealed to the 11th Cir., which held oral argument in December 2024.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Joe Biden,Louisiana v. U.S. Department of Education,2024-04-29,Civil Rights,Title IX Regulations,"U.S. Department of Education, U.S. Department of Justice",adverse_tro_or_injunction,Local Injunction Issued,"Success, Injunction Only","Case Active, Original Court, Stayed or Held in Abeyance",Funding / grant or program cuts,No obvious EO link in AG metadata,24-30399,links: https://attorneysgeneral.org/wp-content/uploads/2024/11/2024.04.29-Louisiana-v.-U.S.-Department-of-Education-W.D.-La.-Complaint.pdf,"The district court issued an injunction blocking the policy in June 2024. The federal defendants appealed to the Fifth Circuit, which held oral argument in November 2024. However, following the change in administrations, all parties agreed to to dismiss the case in March 2025. The district court stayed the case.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
